,UAV_1_new_velocity_twist,actual_UAV_1_pose,actual_UAV_1_vel,goal_UAV_1_pose
30,"linear: 
  x: 0.881442606449
  y: -1.18011987209
  z: -0.12693947399003558
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 0.778258076106
  y: -3.17656031772
  z: 5.09775209427
orientation: 
  x: 0.0732139378172
  y: 0.0673948135382
  z: 0.0316628609167
  w: 0.994532614677","linear: 
  x: 0.759445667267
  y: -1.34907090664
  z: -0.144747883081
angular: 
  x: -0.109958097339
  y: 0.007119291462
  z: 0.0429063513875","position: 
  x: 1.45702929152
  y: -4.08533353088
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
31,"linear: 
  x: -0.786146938801
  y: 1.71824479103
  z: -0.008588390787335202
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.90353941003
  y: -4.64193240329
  z: 5.04011631012
orientation: 
  x: -0.0375216164638
  y: -0.00951751703373
  z: 0.0401910661387
  w: 0.998441897844","linear: 
  x: -0.168097570539
  y: 0.212468504906
  z: -0.0666801929474
angular: 
  x: 0.0721220076084
  y: -0.0676583945751
  z: -0.0364271253347","position: 
  x: -1.64666730035
  y: 3.99908095186
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
32,"linear: 
  x: -0.7912504673
  y: 1.69639742374
  z: -0.007493167137109193
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.88124512712
  y: -4.57826701328
  z: 5.03474807739
orientation: 
  x: -0.0356218201891
  y: -0.00837328361488
  z: 0.0402157618729
  w: 0.998520739166","linear: 
  x: -0.210537284613
  y: 0.243993699551
  z: -0.069825284183
angular: 
  x: 0.00275198556483
  y: 0.0179065745324
  z: 0.00405880855396","position: 
  x: -1.64666730035
  y: 3.99908095186
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
33,"linear: 
  x: -0.796732127666
  y: 1.66875863075
  z: -0.009523541208989805
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.84900068322
  y: -4.50003043338
  z: 5.04376077652
orientation: 
  x: -0.0814469255676
  y: -0.0122344421904
  z: 0.0401031468004
  w: 0.995795387796","linear: 
  x: -0.242327615619
  y: 0.342052608728
  z: 0.00687688682228
angular: 
  x: -0.468388050795
  y: -0.0447136946023
  z: 0.0225385669619","position: 
  x: -1.64666730035
  y: 3.99908095186
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
34,"linear: 
  x: -0.804623126984
  y: 1.63049840927
  z: -0.011177475458874979
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.80619262735
  y: -4.39194098636
  z: 5.05071115494
orientation: 
  x: -0.0941409190801
  y: -0.0148726189219
  z: 0.0388944175847
  w: 0.994687647878","linear: 
  x: -0.277157753706
  y: 0.521044790745
  z: 0.000824289047159
angular: 
  x: 0.0890672802925
  y: 0.0151549000293
  z: -0.00035885698162","position: 
  x: -1.64666730035
  y: 3.99908095186
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
35,"linear: 
  x: -0.815634191036
  y: 1.57991123199
  z: -0.01200922477404088
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.75294589082
  y: -4.24940577671
  z: 5.05357170105
orientation: 
  x: -0.0814972538766
  y: -0.0144888537678
  z: 0.0381595881731
  w: 0.995837394637","linear: 
  x: -0.312173128128
  y: 0.671464204788
  z: -0.00682057114318
angular: 
  x: 0.106548964977
  y: -0.0190388448536
  z: -0.0447968654335","position: 
  x: -1.64666730035
  y: 3.99908095186
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
36,"linear: 
  x: -0.834529876709
  y: 1.49231469631
  z: -0.013529643145870992
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.65928863565
  y: -4.00238886997
  z: 5.05856800079
orientation: 
  x: -0.071744401113
  y: -0.0171726114694
  z: 0.0388070461692
  w: 0.996519872101","linear: 
  x: -0.348954558372
  y: 0.761915683746
  z: -0.0118149546906
angular: 
  x: 0.0394301712513
  y: -0.0681883469224
  z: -0.0562197230756","position: 
  x: -1.64666730035
  y: 3.99908095186
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
37,"linear: 
  x: -0.848142981529
  y: 1.45856201649
  z: -0.014430313356970119
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.60262774507
  y: -3.85583392307
  z: 5.06133365631
orientation: 
  x: -0.0680580228459
  y: -0.0179944436157
  z: 0.0390209841002
  w: 0.996755571003","linear: 
  x: -0.36368265748
  y: 0.78158301115
  z: -0.0134430965409
angular: 
  x: 0.0755227804184
  y: -0.0699092298746
  z: -0.121272310615","position: 
  x: -1.64666730035
  y: 3.99908095186
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
38,"linear: 
  x: -0.867557525635
  y: 1.43472015858
  z: -0.015681092778954048
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.52905558625
  y: -3.67279711887
  z: 5.06510353088
orientation: 
  x: -0.0640386521701
  y: -0.0206564016955
  z: 0.0381608514117
  w: 0.997003567454","linear: 
  x: -0.37925350666
  y: 0.785783231258
  z: -0.0137454019859
angular: 
  x: -0.0351159460843
  y: -0.0542826727033
  z: 0.0389569550753","position: 
  x: -1.64666730035
  y: 3.99908095186
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
39,"linear: 
  x: -0.887795567513
  y: 1.41996753216
  z: -0.017274701191255203
angular: 
  x: 0
  y: 0
  z: 0","position: 
  x: 1.45152472535
  y: -3.48698083087
  z: 5.06998109818
orientation: 
  x: -0.0638143950624
  y: -0.0214001516406
  z: 0.0385678641202
  w: 0.996986597879","linear: 
  x: -0.397690981627
  y: 0.785866200924
  z: -0.0192440934479
angular: 
  x: 0.0296259988099
  y: -0.0226769559085
  z: 0.00493337819353","position: 
  x: -1.64666730035
  y: 3.99908095186
  z: 5.0
orientation: 
  x: 0.0
  y: 0.0
  z: 0.0
  w: 0.0"
